,count
80,9
drug,9
gas,9
breathe,9
drugs,9
sta,9
simplistic,9
goose,9
lyrical,9
homeys,9
heezy,9
snatch,9
paris,9
drawers,9
attack,9
busy,9
rings,9
sad,9
losin,9
ghost,9
los,9
dome,9
lovin,9
bulletproof,9
moving,9
impala,9
bum,9
askin,9
gimmicks,9
inner,9
soldiers,9
insane,9
strength,9
burgundy,9
buried,9
imagine,9
aside,9
flat,9
plaques,9
instead,9
plaque,9
hill,9
pants,9
higher,9
loyalty,9
lyrically,9
banger,9
jealous,9
teeth,9
gap,9
pits,9
stage,9
corners,9
missed,9
fate,9
legit,9
maico,9
hustler,9
decent,9
decide,9
battle,9
uz,9
rape,9
watchin,9
freely,9
deck,9
urban,9
contact,9
ray,9
sip,9
sudden,9
popped,9
brains,9
stack,9
telling,9
survive,9
felt,9
westside,9
jackson,8
developed,8
asked,8
racist,8
muh,8
aye,8
twist,8
hittin,8
cuffs,8
holes,8
code,8
coverage,8
hammer,8
connect,8
conversation,8
smart,8
roc,8
ballers,8
wipe,8
racks,8
es,8
space,8
hurts,8
impressin,8
jewels,8
deuce,8
thrill,8
jewelry,8
mutherfucker,8
clue,8
tripping,8
teach,8
content,8
office,8
hailie,8
source,8
coastin,8
admit,8
sons,8
resolve,8
spending,8
tap,8
edge,8
kept,8
ja,8
point,8
hollywood,8
dare,8
whoo,8
early,8
heads,8
scheming,8
jammin,8
cough,8
dealin,8
spirit,8
mission,8
ella,8
workin,8
dice,8
afraid,8
hanger,8
plane,8
drown,8
digger,8
teenagers,8
mike,8
crossed,8
doubt,8
dreaming,8
trash,8
wrist,8
serve,8
eating,8
diz,8
hills,8
eatin,8
keeps,8
role,8
competition,8
hug,8
square,8
offend,8
alcohol,8
alleys,8
illest,8
hollow,8
pot,8
angry,8
temper,8
slap,8
detox,8
ounce,8
proof,8
strap,8
bush,8
loc,8
bury,8
web,8
noise,8
flip,8
steven,8
violent,8
violin,8
rep,8
mathers,8
gucci,8
losing,8
steppin,8
protect,8
match,8
rules,8
flows,8
suit,8
shouldn,8
pieces,8
lloyd,8
fingers,8
wayne,8
projects,8
famous,8
using,8
memory,8
gray,8
leaving,8
legend,8
layin,8
faggots,8
faster,8
cherry,8
cats,8
facade,8
saved,8
beggin,8
pretend,8
lifestyle,8
outro,8
pressure,8
ferrari,8
lighter,8
carlos,8
phase,8
benches,8
bricks,8
bumping,8
punch,8
blues,8
shock,8
nowadays,8
married,8
bodybag,8
pep,8
slapped,8
walks,8
address,8
mariah,8
riches,8
bleed,8
frikki,8
frontin,8
study,8
addict,8
fulla,8
demons,7
crash,7
hello,7
reality,7
singin,7
count,7
remind,7
jacket,7
dicks,7
country,7
casket,7
sin,7
fif,7
pops,7
products,7
court,7
treated,7
license,7
careers,7
fiend,7
search,7
raining,7
pullin,7
mask,7
ness,7
chamber,7
bobby,7
blunts,7
absurd,7
yawk,7
stomp,7
marajauan,7
grandma,7
authors,7
sexy,7
di,7
blog,7
lean,7
rise,7
jet,7
jaw,7
sister,7
tech,7
riders,7
beanie,7
aw,7
funky,7
sipping,7
swallow,7
ceiling,7
grady,7
dyke,7
beautiful,7
yankee,7
fed,7
tremendous,7
grace,7
belong,7
pushin,7
filthy,7
person,7
fresher,7
blazin,7
non,7
sand,7
math,7
mars,7
matches,7
assassins,7
paranoid,7
gangsters,7
tits,7
dad,7
woulda,7
marshall,7
dammed,7
wrath,7
damned,7
purple,7
pencil,7
2006,7
folks,7
2009,7
diss,7
bite,7
retarded,7
speaker,7
rag,7
norman,7
date,7
se,7
bored,7
reaction,7
woke,7
digits,7
semi,7
hennessy,7
rush,7
stuff,7
prolly,7
finished,7
fish,7
revenge,7
fix,7
berry,7
relate,7
mornin,7
glover,7
poetic,7
burnt,7
screw,7
maybach,7
lonely,7
weather,7
innocent,7
thuggin,7
gift,7
bunch,7
curb,7
grave,7
matters,7
major,7
spent,7
stretch,7
screen,7
cheap,7
miami,7
figures,7
presents,7
fad,7
whore,7
served,7
exist,7
chevy,7
age,7
twisted,7
pink,7
tattoos,7
stat,7
jumped,7
quarter,7
happened,7
bastards,7
slurp,7
conquer,7
twizzy,7
station,7
facts,7
stash,7
nut,7
slam,7
cho,7
katy,7
lap,7
collect,7
picked,7
chips,7
language,7
explain,7
underground,7
baddest,7
yesterday,7
advice,7
kush,7
barrel,7
clears,7
combination,7
yeezy,7
rapping,7
uhh,7
tan,7
clowns,7
jus,7
upside,7
pee,7
expect,7
stan,7
lamar,7
yayo,7
leader,7
clouds,7
steady,7
chopper,7
clown,7
closer,7
yep,7
skirts,7
constant,7
minutes,7
killers,7
powered,6
doe,6
tho,6
sidewalks,6
28mo,6
excellence,6
noodles,6
momentum,6
impression,6
39love,6
birds,6
dodge,6
gibberish,6
mercedes,6
daisy,6
browse,6
ctah,6
23,6
sigel,6
prove,6
encore,6
korn,6
24if,6
angel,6
webs,6
getcha,6
sprung,6
thompson,6
personalize,6
hips,6
colors,6
happens,6
recognize,6
doo,6
super,6
sacrifice,6
exorcist,6
amazon,6
pouring,6
od,6
cum,6
toot,6
flight,6
amazing,6
solutions,6
common,6
curator,6
wearing,6
moms,6
buns,6
38hail,6
slippers,6
nonsense,6
miles,6
34realest,6
redman,6
pablo,6
flo,6
stereo,6
osten,6
sharks,6
rob,6
saint,6
barriers,6
tea,6
ink,6
birthday,6
speaking,6
dive,6
yellow,6
denver,6
spilling,6
hah,6
future,6
kitchen,6
services,6
apart,6
bones,6
service,6
subliminal,6
nope,6
tips,6
question,6
mics,6
notes,6
evans,6
16runnin,6
dimes,6
climb,6
punisher,6
pulls,6
closed,6
staying,6
pill,6
wood,6
mansion,6
01hypnotize,6
tyson,6
pun,6
hotel,6
destroy,6
warrior,6
developers,6
devils,6
08dead,6
apps,6
blink,6
09house,6
boats,6
replace,6
kissin,6
wolves,6
spinning,6
seconds,6
twista,6
marks,6
lyricsthe,6
2011,6
2015,6
original,6
threw,6
breathin,6
overview,6
policy,6
preferences,6
evidence,6
policycookie,6
moves,6
lucky,6
envy,6
policyeulacopyright,6
ads,6
guidelines,6
clap,6
shout,6
ill,6
bread,6
short,6
decision,6
retire,6
subwoofer,6
mail,6
gunfight,6
hustlers,6
direction,6
freaks,6
worried,6
dear,6
hoo,6
deals,6
dealing,6
foul,6
form,6
macs,6
events,6
brand,6
stronger,6
forgive,6
suffer,6
experience,6
bia,6
beverly,6
covers,6
beginning,6
cases,6
ago,6
popping,6
harmony,6
course,6
patiently,6
weren,6
ey,6
coupe,6
ellis,6
potato,6
slugs,6
harvey,6
reginald,6
ski,6
chicks,6
dukes,6
8ball,6
bedroom,6
dudes,6
extra,6
venice,6
backs,6
sneak,6
fierce,6
cranberry,6
roun,6
cards,6
tariq,6
